timestamp,tool,scenario,iteration,phase,duration_ms,exit_code
2025-12-24T15:35:36.2688100Z,pytest_testcontainers,S4,3,measured,24515,0
2025-12-24T15:36:00.8917008Z,pytest_testcontainers,S4,4,measured,24621,0
2025-12-24T15:36:25.3597207Z,pytest_testcontainers,S4,5,measured,24467,0
2025-12-24T15:36:49.8376497Z,pytest_testcontainers,S4,6,measured,24477,0
2025-12-24T15:37:14.4186633Z,pytest_testcontainers,S4,7,measured,24579,0
2025-12-24T15:37:38.9215722Z,pytest_testcontainers,S4,8,measured,24501,0
2025-12-24T15:38:03.5177618Z,pytest_testcontainers,S4,9,measured,24596,0
2025-12-24T15:38:28.0574785Z,pytest_testcontainers,S4,10,measured,24538,0
2025-12-24T15:38:52.5975710Z,pytest_testcontainers,S4,11,measured,24539,0
2025-12-24T15:39:16.9347238Z,pytest_testcontainers,S4,12,measured,24336,0
2025-12-24T15:39:41.3837973Z,pytest_testcontainers,S4,13,measured,24448,0
2025-12-24T15:40:06.0827955Z,pytest_testcontainers,S4,14,measured,24697,0
2025-12-24T15:40:30.7136239Z,pytest_testcontainers,S4,15,measured,24630,0
2025-12-24T15:40:55.1554825Z,pytest_testcontainers,S4,16,measured,24440,0
2025-12-24T15:41:19.7295129Z,pytest_testcontainers,S4,17,measured,24573,0
2025-12-24T15:41:44.3344279Z,pytest_testcontainers,S4,18,measured,24604,0
2025-12-24T15:42:08.7756349Z,pytest_testcontainers,S4,19,measured,24440,0
2025-12-24T15:42:33.3374136Z,pytest_testcontainers,S4,20,measured,24561,0
2025-12-24T15:43:09.2352585Z,dbt,S4,1,measured,30859,0
2025-12-24T15:43:39.1342596Z,dbt,S4,2,measured,29892,0
2025-12-24T15:44:12.8922913Z,dbt,S4,3,measured,33757,0
2025-12-24T15:44:44.4220174Z,dbt,S4,4,measured,31528,0
2025-12-24T15:45:13.6167132Z,dbt,S4,5,measured,29194,0
2025-12-24T15:45:45.2309459Z,dbt,S4,6,measured,31613,0
2025-12-24T15:46:14.5291618Z,dbt,S4,7,measured,29297,0
2025-12-24T15:46:44.2921567Z,dbt,S4,8,measured,29762,0
